genus,species
Litoria,wotjulumensis
Platyplectrum,ornatum
Pseudotriton,ruber
Rhinella,arenarum
Bufo,granulosus
Achirus,mazatlanus
Acipenser,baerii
Acipenser,brevirostrum
Acipenser,medirostris
Oryzias,melastigma
Albula,vulpes
Ambassis,agrammus
Ambassis,ambassis
Ambassis,gymnocephalus
Ambassis,kopsii
Ambassis,natalensis
Amia,calva
Anabas,testudineus
Apogon,dovii
Apogon,maculatus
Apogon,pacificus
Nectamia,savayensis
Ostorhinchus,aureus
Ostorhinchus,novemfasciatus
Craterocephalus,stercusmuscarum
Atherinops,affinis
Labidesthes,sicculus
Leuresthes,sardina
Leuresthes,tenuis
Menidia,beryllina
Odontesthes,bonariensis
Horabagrus,brachysoma
Pseudobagrus,vachellii
Coryphoblennius,galerita
Hypsoblennius,gilberti
Lipophrys,pholis
Lipophrys,trigloides
Paralticus,amboinensis
Plagiotremus,azaleus
Bothus,pantherinus
Bovichtus,variegatus
Callichthys,callichthys
Corydoras,ehrhardti
Corydoras,paleatus
Scleromystax,barbatus
Pseudocaranx,dentex
Seriola,quinqueradiata
Trachinotus,carolinus
Trachinotus,paitensis
Trachurus,japonicus
Carpiodes,carpio
Carpiodes,cyprinus
Catostomus,catostomus
Catostomus,commersonii
Catostomus,latipinnis
Catostomus,occidentalis
Catostomus,platyrhynchus
Catostomus,snyderi
Chasmistes,brevirostris
Chasmistes,liorus
Hypentelium,nigricans
Ictiobus,bubalus
Minytrema,melanops
Moxostoma,erythrurum
Moxostoma,macrolepidotum
Moxostoma,robustum
Ambloplites,rupestris
Archoplites,interruptus
Lepomis,cyanellus
Lepomis,gibbosus
Lepomis,gulosus
Lepomis,humilis
Lepomis,macrochirus
Lepomis,megalotis
Lepomis,microlophus
Micropterus,dolomieu
Micropterus,floridanus
Micropterus,punctulatus
Micropterus,salmoides
Pomoxis,annularis
Pomoxis,nigromaculatus
Lates,calcarifer
Acanthemblemaria,hancocki
Chelmon,rostratus
Chanos,chanos
Chaenocephalus,aceratus
Chionodraco,rastrospinosus
Channa,punctata
Astyanax,bimaculatus
Astyanax,eigenmanniorum
Astyanax,lineatus
Bryconamericus,thomasi
Gymnocharacinus,bergii
Alcolapia,grahami
Bujurquina,vittata
Cichlasoma,urophthalmum
Etroplus,suratensis
Geophagus,brasiliensis
Hemichromis,guttatus
Oreochromis,mossambicus
Oreochromis,niloticus
Pseudocrenilabrus,multicolor
Pterophyllum,scalare
Sarotherodon,melanotheron
Tilapia,mariae
Cirrhitichthys,oxycephalus
Paracirrhites,hemistictus
Clarias,gariepinus
Alosa,sapidissima
Clupea,harengus
Clupea,pallasii
Dorosoma,cepedianum
Dorosoma,petenense
Sardinops,sagax
Misgurnus,fossilis
Clinocottus,analis
Cottus,bairdii
Cottus,carolinae
Cottus,gobio
Cottus,hypselurus
Cottus,paulus
Cottus,tallapoosae
Oligocottus,maculosus
Cynoglossus,puncticeps
Abramis,brama
Alburnus,alburnus
Alburnus,chalcoides
Ballerus,ballerus
Barbus,barbus
Barilius,bendelisis
Campostoma,anomalum
Carassius,auratus
Carassius,carassius
Catla,catla
Chrosomus,eos
Chrosomus,erythrogaster
Chrosomus,neogaeus
Cirrhinus,mrigala
Clinostomus,elongatus
Couesius,plumbeus
Ctenopharyngodon,idella
Cyprinella,lutrensis
Cyprinella,spiloptera
Cyprinion,macrostomum
Cyprinus,carpio
Danio,albolineatus
Danio,choprae
Danio,dangila
Danio,rerio
Dionda,diaboli
Ericymba,buccata
Gila,coerulea
Gobio,gobio
Hesperoleucus,symmetricus
Hybognathus,placitus
Hybopsis,amblops
Hypophthalmichthys,molitrix
Hypophthalmichthys,nobilis
Labeo,rohita
Lavinia,exilicauda
Lepidomeda,copei
Lepidomeda,mollispinis
Leuciscus,idus
Luxilus,chrysocephalus
Luxilus,cornutus
Luxilus,zonatus
Lythrurus,umbratilis
Mylopharodon,conocephalus
Neolissochilus,hexagonolepis
Nocomis,biguttatus
Nocomis,micropogon
Notemigonus,crysoleucas
Notropis,atherinoides
Notropis,buccula
Notropis,cummingsae
Notropis,dorsalis
Notropis,girardi
Notropis,heterodon
Notropis,hudsonius
Notropis,lutipinnis
Notropis,nubilus
Notropis,oxyrhynchus
Notropis,rubellus
Notropis,stramineus
Notropis,telescopus
Notropis,topeka
Orthodon,microlepidotus
Parabramis,pekinensis
Phenacobius,mirabilis
Phoxinus,phoxinus
Pimephales,notatus
Pimephales,promelas
Pimephales,vigilax
Plagopterus,argentissimus
Ptychocheilus,grandis
Rhinichthys,atratulus
Rhinichthys,cataractae
Rhinichthys,osculus
Rhodeus,amarus
Rutilus,rutilus
Scardinius,erythrophthalmus
Schizothorax,kozlovi
Semotilus,atromaculatus
Siphateles,bicolor
Spinibarbus,sinensis
Squalius,cephalus
Tanichthys,albonubes
Tinca,tinca
Tor,putitora
Cyprinodon,artifrons
Cyprinodon,bovinus
Cyprinodon,dearborni
Cyprinodon,elegans
Cyprinodon,nevadensis
Cyprinodon,rubrofluviatilis
Cyprinodon,salinus
Cyprinodon,variegatus
Floridichthys,carpio
Taeniura,lymma
Gobiomorphus,basalis
Gobiomorphus,breviceps
Gobiomorphus,cotidianus
Hypseleotris,galii
Hypseleotris,klunzingeri
Cymatogaster,aggregata
Embiotoca,jacksoni
Hypsurus,caryi
Hysterocarpus,traskii
Micrometrus,minimus
Engraulis,japonicus
Engraulis,mordax
Esox,lucius
Esox,masquinongy
Fundulus,diaphanus
Fundulus,grandis
Fundulus,heteroclitus
Fundulus,notatus
Fundulus,olivaceus
Fundulus,sciadicus
Fundulus,zebrinus
Lucania,parva
Gadus,morhua
Microgadus,tomcod
Galaxias,argenteus
Galaxias,brevipinnis
Galaxias,postvectis
Apeltes,quadracus
Culaea,inconstans
Eucinostomus,argenteus
Eucinostomus,gracilis
Gerres,oyena
Gobiesox,pinniger
Gobiesox,strumosus
Tomicodon,humeralis
Amblygobius,phalaena
Awaous,commersoni
Bathygobius,fuscus
Bathygobius,ramosus
Bathygobius,soporator
Coryphopterus,urospilus
Croilia,mossambica
Ctenogobius,sagittula
Gnatholepis,anjerensis
Gobiosoma,chiquita
Gobius,cobitis
Gobius,paganellus
Istigobius,ornatus
Neogobius,melanostomus
Periophthalmus,argentilineatus
Periophthalmus,kalolo
Pomatoschistus,minutus
Quietula,y
Tridentiger,bifasciatus
Yongeichthys,criniger
Haemulon,flavolineatum
Haemulon,steindachneri
Hyporhamphus,dussumieri
Hyporhamphus,rosae
Heteropneustes,fossilis
Ameiurus,catus
Ameiurus,melas
