genus_species,genus,species,phylum,order,family,class
Clinostomus elongatus,Clinostomus,elongatus,NA,NA,Cyprinidae,Actinopteri
Clupea pallasii,Clupea,pallasii,NA,NA,Clupeidae,Actinopteri
Cophixalus ornatus,Cophixalus,ornatus,NA,Anura,Microhylidae,Amphibia
Coregonus artedi,Coregonus,artedi,NA,NA,Salmonidae,Actinopteri
Coregonus clupeaformis,Coregonus,clupeaformis,NA,NA,Salmonidae,Actinopteri
Coregonus hoyi,Coregonus,hoyi,NA,NA,Salmonidae,Actinopteri
Coregonus maraenoides,Coregonus,maraenoides,NA,NA,Salmonidae,Actinopteri
Coregonus nasus,Coregonus,nasus,NA,NA,Salmonidae,Actinopteri
Coregonus widegreni,Coregonus,widegreni,NA,NA,Salmonidae,Actinopteri
Corydoras ehrhardti,Corydoras,ehrhardti,NA,NA,Callichthyidae,Actinopteri
Cottus bairdii,Cottus,bairdii,NA,NA,Cottidae,Actinopteri
Cottus carolinae,Cottus,carolinae,NA,NA,Cottidae,Actinopteri
Cottus cognatus,Cottus,cognatus,Chordata,Perciformes,Cottidae,Actinopteri
Cottus gobio,Cottus,gobio,NA,NA,Cottidae,Actinopteri
Cottus paulus,Cottus,paulus,NA,NA,Cottidae,Actinopteri
Cottus tallapoosae,Cottus,tallapoosae,NA,NA,Cottidae,Actinopteri
Couesius plumbeus,Couesius,plumbeus,NA,NA,Cyprinidae,Actinopteri
Craterocephalus stercusmuscarum,Craterocephalus,stercusmuscarum,NA,NA,Atherinidae,Actinopteri
Crinia signifera,Crinia,signifera,Chordata,Anura,Myobatrachidae,Amphibia
Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,Caudata,Cryptobranchidae,Amphibia
Cryptopygus antarcticustravei,Cryptopygus,antarcticustravei,Arthropoda,Entomobryomorpha,Isotomidae,Entognatha
Ctenopharyngodon idella,Ctenopharyngodon,idella,NA,NA,Cyprinidae,Actinopteri
Cynoscion nebulosus,Cynoscion,nebulosus,NA,NA,Sciaenidae,Actinopteri
Cyprinella lutrensis,Cyprinella,lutrensis,NA,NA,Cyprinidae,Actinopteri
