genus_species,genus,species,phylum,order,family,class
Pseudophryne bibronii,Pseudophryne,bibronii,NA,Anura,Myobatrachidae,Amphibia
Pseudophryne corroboree,Pseudophryne,corroboree,NA,Anura,Myobatrachidae,Amphibia
Pterophyllum scalare,Pterophyllum,scalare,NA,NA,Cichlidae,Actinopteri
Ptychocheilus grandis,Ptychocheilus,grandis,NA,NA,Cyprinidae,Actinopteri
Pygocentrus nattereri,Pygocentrus,nattereri,NA,NA,Serrasalmidae,Actinopteri
Quietula y,Quietula,y,NA,NA,Gobiidae,Teleostei
Rana boylii,Rana,boylii,NA,Anura,Ranidae,Amphibia
Rana cascadae,Rana,cascadae,NA,Anura,Ranidae,Amphibia
Rana chensinensis,Rana,chensinensis,NA,Anura,Ranidae,Amphibia
Rana pretiosa,Rana,pretiosa,NA,Anura,Ranidae,Amphibia
Ranoidea aurea,Ranoidea,aurea,NA,Anura,Hylidae,Amphibia
Ranoidea aurea,Ranoidea,aurea,Chordata,Anura,Hylidae,Amphibia
Ranoidea caerulea,Ranoidea,caerulea,NA,Anura,Hylidae,Amphibia
Ranoidea caerulea,Ranoidea,caerulea,Chordata,Anura,Hylidae,Amphibia
Ranoidea chloris,Ranoidea,chloris,NA,Anura,Hylidae,Amphibia
Ranoidea chloris,Ranoidea,chloris,Chordata,Anura,Hylidae,Amphibia
Ranoidea citropa,Ranoidea,citropa,NA,Anura,Hylidae,Amphibia
Ranoidea gracilenta,Ranoidea,gracilenta,Chordata,Anura,Hylidae,Amphibia
Ranoidea lesueurii,Ranoidea,lesueurii,NA,Anura,Hylidae,Amphibia
Ranoidea lesueurii,Ranoidea,lesueurii,Chordata,Anura,Hylidae,Amphibia
Ranoidea phyllochroa,Ranoidea,phyllochroa,NA,Anura,Hylidae,Amphibia
Ranoidea phyllochroa,Ranoidea,phyllochroa,Chordata,Anura,Hylidae,Amphibia
Retropinna retropinna,Retropinna,retropinna,Chordata,Osmeriformes,Retropinnidae,Actinopteri
Rhaebo haematiticus,Rhaebo,haematiticus,NA,Anura,Bufonidae,Amphibia
Rhinella icterica,Rhinella,icterica,NA,Anura,Bufonidae,Amphibia
Rhinella marina,Rhinella,marina,NA,Anura,Bufonidae,Amphibia
Rhinichthys atratulus,Rhinichthys,atratulus,NA,NA,Cyprinidae,Actinopteri
Rhinichthys cobitis,Rhinichthys,cobitis,Chordata,Cypriniformes,Cyprinidae,Actinopteri
Rhinichthys osculus,Rhinichthys,osculus,NA,NA,Cyprinidae,Actinopteri
Rhinomugil corsula,Rhinomugil,corsula,NA,NA,Mugilidae,Actinopteri
Rhyacotriton variegatus,Rhyacotriton,variegatus,NA,Anura,Rhyacotritonidae,Amphibia
Rutilus rutilus,Rutilus,rutilus,NA,NA,Cyprinidae,Actinopteri
Rypticus nigripinnis,Rypticus,nigripinnis,NA,NA,Serranidae,Actinopteri
Salmo salar,Salmo,salar,Chordata,Salmoniformes,Salmonidae,Actinopteri
Salmo trutta,Salmo,trutta,NA,NA,Salmonidae,Actinopteri
Salvelinus alpinus,Salvelinus,alpinus,NA,NA,Salmonidae,Actinopteri
Salvelinus confluentus,Salvelinus,confluentus,NA,NA,Salmonidae,Actinopteri
Salvelinus fontinalis,Salvelinus,fontinalis,NA,NA,Salmonidae,Actinopteri
Salvelinus namaycush,Salvelinus,namaycush,NA,NA,Salmonidae,Actinopteri
Sander canadensis,Sander,canadensis,NA,NA,Percidae,Actinopteri
Sander lucioperca,Sander,lucioperca,NA,NA,Percidae,Actinopteri
Sander vitreus,Sander,vitreus,NA,NA,Percidae,Actinopteri
Sardinops sagax,Sardinops,sagax,NA,NA,Clupeidae,Actinopteri
Scaphiopus holbrookii,Scaphiopus,holbrookii,NA,Anura,Scaphiopodidae,Amphibia
Scardinius erythrophthalmus,Scardinius,erythrophthalmus,NA,NA,Cyprinidae,Actinopteri
Schizothorax kozlovi,Schizothorax,kozlovi,NA,NA,Cyprinidae,Actinopteri
Sciaenops ocellatus,Sciaenops,ocellatus,NA,NA,Sciaenidae,Actinopteri
Scleromystax barbatus,Scleromystax,barbatus,NA,NA,Callichthyidae,Actinopteri
Semotilus atromaculatus,Semotilus,atromaculatus,NA,NA,Cyprinidae,Actinopteri
Seriola quinqueradiata,Seriola,quinqueradiata,NA,NA,Carangidae,Actinopteri
Siganus canaliculatus,Siganus,canaliculatus,NA,NA,Siganidae,Actinopteri
Sillago sihama,Sillago,sihama,NA,NA,Sillaginidae,Actinopteri
Silurus glanis,Silurus,glanis,NA,NA,Siluridae,Actinopteri
Silurus meridionalis,Silurus,meridionalis,NA,NA,Siluridae,Actinopteri
Siphateles bicolor mohavensis,Siphateles,bicolor mohavensis,Chordata,Cypriniformes,Cyprinidae,Actinopteri
Siphateles bicolor,Siphateles,bicolor,NA,NA,Cyprinidae,Actinopteri
Smilisca baudinii,Smilisca,baudinii,NA,Anura,Hylidae,Amphibia
Smilisca fodiens,Smilisca,fodiens,NA,Anura,Hylidae,Amphibia
Spea hammondii,Spea,hammondii,Chordata,Anura,Scaphiopodidae,Amphibia
Spea hammondii,Spea,hammondii,Chordata,Anura,Pelobatidae,Amphibia
Sphenomorphus incognitus,Sphenomorphus,incognitus,Chordata,Squamata,Scincidae,Lepidosauria
Sphenomorphus taiwanensis,Sphenomorphus,taiwanensis,Chordata,Squamata,Scincidae,Reptilia
Sphoeroides annulatus,Sphoeroides,annulatus,NA,NA,Tetraodontidae,Actinopteri
Spinibarbus sinensis,Spinibarbus,sinensis,NA,NA,Cyprinidae,Actinopteri
Squalius cephalus,Squalius,cephalus,NA,NA,Cyprinidae,Actinopteri
Stenotomus chrysops,Stenotomus,chrysops,NA,NA,Sparidae,Actinopteri
Taeniura lymma,Taeniura,lymma,NA,NA,Dasyatidae,Chondrichthyes
Takydromus formosanus,Takydromus,formosanus,Chordata,Squamata,Lacertidae,Lepidosauria
Takydromus hsuehshaner,Takydromus,hsuehshaner,Chordata,Squamata,Lacertidae,Reptilia
Takydromus stejnegeri,Takydromus,stejnegeri,Chordata,Squamata,Lacertidae,Lepidosauria
Terapon jarbua,Terapon,jarbua,NA,NA,Terapontidae,Actinopteri
Terapon theraps,Terapon,theraps,NA,NA,Terapontidae,Actinopteri
Thamnophis elegans,Thamnophis,elegans,Chordata,Squamata,Colubridae,Lepidosauria
Thymallus arcticus,Thymallus,arcticus,NA,NA,Salmonidae,Actinopteri
Thymallus thymallus,Thymallus,thymallus,NA,NA,Salmonidae,Actinopteri
Tinca tinca,Tinca,tinca,NA,NA,Cyprinidae,Actinopteri
Tlalocohyla smithii,Tlalocohyla,smithii,NA,Anura,Hylidae,Amphibia
Tomicodon humeralis,Tomicodon,humeralis,NA,NA,Gobiesocidae,Actinopteri
Tor putitora,Tor,putitora,NA,NA,Cyprinidae,Actinopteri
Trachurus japonicus,Trachurus,japonicus,NA,NA,Carangidae,Actinopteri
Tridentiger bifasciatus,Tridentiger,bifasciatus,NA,NA,Gobiidae,Actinopteri
Trimeresurus gracilis,Trimeresurus,gracilis,Chordata,Squamata,Viperidae,Lepidosauria
Trimeresurus stejnegeri,Trimeresurus,stejnegeri,Chordata,Squamata,Viperidae,Lepidosauria
Triturus dobrogicus,Triturus,dobrogicus,NA,Caudata,Salamandridae,Amphibia
Tullbergia bisetosa,Tullbergia,bisetosa,Arthropoda,Poduromorpha,Tullbergiidae,Collembola
Valamugil engeli,Valamugil,engeli,NA,NA,Mugilidae,Actinopteri
Xantusia vigilis,Xantusia,vigilis,Chordata,Squamata,Xantusiidae,Lepidosauria
Xenopus laevis,Xenopus,laevis,NA,Anura,Pipidae,Amphibia
Xiphophorus maculatus,Xiphophorus,maculatus,NA,NA,Poeciliidae,Actinopteri
Xiphophorus variatus,Xiphophorus,variatus,NA,NA,Poeciliidae,Actinopteri
Xyrauchen texanus,Xyrauchen,texanus,Chordata,Cypriniformes,Catostomidae,Actinopteri
Zoarces viviparus,Zoarces,viviparus,Chordata,Perciformes,Zoarcidae,Actinopteri
