genus,species,latitude,longitude,population_id,location_description,acclim_temp,acclim_time,parameter_value,parameter_tmax_or_tmin,error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,ramping_to_reach_st,duration_of_chronic_exposure,temp_before_pretreament_held_or_ff_for_field_fresh,timing_of_collection,elevation_of_collection,life_stage,phylum,class,order,family,realm_general,realm_specific,source,original_compilation,notes,extractor,ref,citation_Rohr,reference_Comte,genus_species
Lithobates,clamitans,37.621,-84.199,Lithobates clamitans_37.621_-84.199,"Central Kentucky Wildlife Area, Kentucky",25,7,40.2,tmax,NA,NA,12,NA,Ceased all movements and no longer responded to mechanical stimulation with forceps,1,NA,NA,NA,NA,278,larva,NA,Amphibia,Anura,Ranidae,Terrestrial,NA,Field,Rohr,NA,NA,"Willhite, C., and P. V. J. Cupp. 1982. Daily rhythms of thermal tolerance in Rana clamitans (Anura: Ranidae) tadpoles. Comparative Biochemistry and Physiology Part A 71:255-258.",Willhite and Cupp 1982,NA,Lithobates clamitans
Lithobates,clamitans,37.621,-84.199,Lithobates clamitans_37.621_-84.199,"Central Kentucky Wildlife Area, Kentucky",30,7,40.4,tmax,NA,NA,12,NA,Ceased all movements and no longer responded to mechanical stimulation with forceps,1,NA,NA,NA,NA,278,larva,NA,Amphibia,Anura,Ranidae,Terrestrial,NA,Field,Rohr,NA,NA,"Willhite, C., and P. V. J. Cupp. 1982. Daily rhythms of thermal tolerance in Rana clamitans (Anura: Ranidae) tadpoles. Comparative Biochemistry and Physiology Part A 71:255-258.",Willhite and Cupp 1982,NA,Lithobates clamitans
Necturus,maculosus,45.442,-90.128,Necturus maculosus_45.442_-90.128,Northern Wisconsin,5,11,32.3,tmax,NA,NA,13,NA,Onset of spasms,1,NA,NA,NA,NA,522,Adult,NA,Amphibia,Caudata,Proteidae,Terrestrial,NA,Field,Rohr,NA,NA,"Hutchison, V. H., and S. D. Rowlan. 1975. Thermal acclimation and tolerance in the mudpuppy, Necturus maculosus. Journal of Herpetology 9:367-368.",Hutchison and Rowlan 1975,NA,Necturus maculosus
Necturus,maculosus,45.442,-90.128,Necturus maculosus_45.442_-90.128,Northern Wisconsin,15,11,34.5,tmax,NA,NA,10,NA,Onset of spasms,1,NA,NA,NA,NA,522,Adult,NA,Amphibia,Caudata,Proteidae,Terrestrial,NA,Field,Rohr,NA,NA,"Hutchison, V. H., and S. D. Rowlan. 1975. Thermal acclimation and tolerance in the mudpuppy, Necturus maculosus. Journal of Herpetology 9:367-368.",Hutchison and Rowlan 1975,NA,Necturus maculosus
Necturus,maculosus,45.442,-90.128,Necturus maculosus_45.442_-90.128,Northern Wisconsin,25,11,35.7,tmax,NA,NA,15,NA,Onset of spasms,1,NA,NA,NA,NA,522,Adult,NA,Amphibia,Caudata,Proteidae,Terrestrial,NA,Field,Rohr,NA,NA,"Hutchison, V. H., and S. D. Rowlan. 1975. Thermal acclimation and tolerance in the mudpuppy, Necturus maculosus. Journal of Herpetology 9:367-368.",Hutchison and Rowlan 1975,NA,Necturus maculosus
Cryptobranchus,alleganiensis,36.672,-92.381,Cryptobranchus alleganiensis_36.672_-92.381,"Ozark County, Missouri",5,14,32.7,tmax,NA,NA,9,NA,Onset of spasms,1,NA,NA,NA,NA,315,Adult,NA,Amphibia,Caudata,Cryptobranchidae,Terrestrial,NA,Field,Rohr,NA,NA,"Hutchison, V. H., G. Engbretson, and D. Turney. 1973. Thermal acclimation and tolerance in the hellbender, Cryptobranchus alleganiensis. Copeia 1973:805-807.",Hutchison et al. 1973,NA,Cryptobranchus alleganiensis
Cryptobranchus,alleganiensis,36.672,-92.381,Cryptobranchus alleganiensis_36.672_-92.381,"Ozark County, Missouri",15,14,33,tmax,NA,NA,10,NA,Onset of spasms,1,NA,NA,NA,NA,315,Adult,NA,Amphibia,Caudata,Cryptobranchidae,Terrestrial,NA,Field,Rohr,NA,NA,"Hutchison, V. H., G. Engbretson, and D. Turney. 1973. Thermal acclimation and tolerance in the hellbender, Cryptobranchus alleganiensis. Copeia 1973:805-807.",Hutchison et al. 1973,NA,Cryptobranchus alleganiensis
Cryptobranchus,alleganiensis,36.672,-92.381,Cryptobranchus alleganiensis_36.672_-92.381,"Ozark County, Missouri",25,14,36.6,tmax,NA,NA,10,NA,Onset of spasms,1,NA,NA,NA,NA,315,Adult,NA,Amphibia,Caudata,Cryptobranchidae,Terrestrial,NA,Field,Rohr,NA,NA,"Hutchison, V. H., G. Engbretson, and D. Turney. 1973. Thermal acclimation and tolerance in the hellbender, Cryptobranchus alleganiensis. Copeia 1973:805-807.",Hutchison et al. 1973,NA,Cryptobranchus alleganiensis
Necturus,maculosus,40.4070065,-84.204712,Necturus maculosus_40.4070065_-84.204712,Supplier,15,14,32.8,tmax,NA,NA,18,NA,Onset of spasms,NA,NA,NA,NA,NA,309,Adult,NA,Amphibia,Caudata,Proteidae,Terrestrial,NA,Supplier,Rohr,NA,NA,"Ritchart, J. P., and V. H. Hutchison. 1986. The effects of ATP and cAMP on the thermal tolerance of the mudpuppy, Necturus maculosus. Journal of Thermal Biology 11:47-51.",Ritchart and Hutchison 1986,NA,Necturus maculosus
Necturus,maculosus,40.4070065,-84.204712,Necturus maculosus_40.4070065_-84.204712,Supplier,15,14,33.3,tmax,NA,NA,25,NA,Onset of spasms,NA,NA,NA,NA,NA,309,Adult,NA,Amphibia,Caudata,Proteidae,Terrestrial,NA,Supplier,Rohr,NA,NA,"Ritchart, J. P., and V. H. Hutchison. 1986. The effects of ATP and cAMP on the thermal tolerance of the mudpuppy, Necturus maculosus. Journal of Thermal Biology 11:47-51.",Ritchart and Hutchison 1986,NA,Necturus maculosus
Necturus,maculosus,40.4070065,-84.204712,Necturus maculosus_40.4070065_-84.204712,Supplier,15,14,34.1,tmax,NA,NA,21,NA,Onset of spasms,NA,NA,NA,NA,NA,309,Adult,NA,Amphibia,Caudata,Proteidae,Terrestrial,NA,Supplier,Rohr,NA,NA,"Ritchart, J. P., and V. H. Hutchison. 1986. The effects of ATP and cAMP on the thermal tolerance of the mudpuppy, Necturus maculosus. Journal of Thermal Biology 11:47-51.",Ritchart and Hutchison 1986,NA,Necturus maculosus
Lithobates,clamitans,42,-73.135,Lithobates clamitans_42_-73.135,"Long Island, New York",5,14,29.9,tmax,NA,NA,10,NA,Loss of righting response,1,NA,NA,NA,NA,305,Adult,NA,Amphibia,Anura,Ranidae,Terrestrial,NA,Field,Rohr,NA,NA,"Brattstrom, B. H. 1968. Thermal acclimation in Anuran amphibians as a function of latitude and altitude. Comparative Biochemistry and Physiology 24:93-111.",Brattstrom 1968,NA,Lithobates clamitans
Lithobates,clamitans,42,-73.135,Lithobates clamitans_42_-73.135,"Long Island, New York",23,14,35,tmax,NA,NA,10,NA,Loss of righting response,1,NA,NA,NA,NA,305,Adult,NA,Amphibia,Anura,Ranidae,Terrestrial,NA,Field,Rohr,NA,NA,"Brattstrom, B. H. 1968. Thermal acclimation in Anuran amphibians as a function of latitude and altitude. Comparative Biochemistry and Physiology 24:93-111.",Brattstrom 1968,NA,Lithobates clamitans
