Genus,Species,parameter_value,parameter_(tmax_or_tmin),error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,ramping_to_reach_ST,duration_of_chronic_exposure,pretreatment_temp,pretreatment_duration,temp_before_pretreament_(held_or_FF_for_field_fresh),timing_of_collection,lat_of_collection,long_of_collection,elevation_of_collection,location_description,REF,life_stage,Phylum,Class,Order,Family,Realm_specific,Realm_general
Poa,colensoi,-14.4,tmin,NA,NA,3,lethal,50percent_loss_of_frost_resistance,NA,5,8h,NA,NA,-1.68,Summer,-45.33,16.21,1650,Old Man Range Southern New Zealand,Bannister_et_al_2005,NA,Streptophyta,Spermatophyta,Poales,Poaceae,Alpin,terrestrial
Lagopus,muta,-5.3,tmin,NA,NA,NA,critical,increased_heat_production,NA,NA,NA,NA,NA,NA,Winter,78.7,17.8,NA,Svalbard_Ptarmigan,Mortensen_&_Blix_1986,adult,Chordata,Aves,Galliformes,Phasianidae,Alpin/Artic,terrestrial
Lagopus,muta,-5.8,tmin,NA,NA,NA,critical,increased_heat_production,NA,NA,NA,NA,NA,NA,Spring,78.7,17.8,NA,Svalbard_Ptarmigan,Mortensen_&_Blix_1986,adult,Chordata,Aves,Galliformes,Phasianidae,Alpin/Artic,terrestrial
Lagopus,muta,-6,tmin,NA,NA,NA,critical,increased_heat_production,NA,NA,NA,NA,NA,NA,Winter,78.7,17.8,NA,Svalbard_Ptarmigan,Mortensen_&_Blix_1986,adult,Chordata,Aves,Galliformes,Phasianidae,Alpin/Artic,terrestrial
Lagopus,muta,-8.7,tmin,NA,NA,NA,critical,increased_heat_production,NA,NA,NA,NA,NA,NA,Summer,78.7,17.8,NA,Svalbard_Ptarmigan,Mortensen_&_Blix_1986,adult,Chordata,Aves,Galliformes,Phasianidae,Alpin/Artic,terrestrial
Dumontia,contorta,26,tmax,NA,NA,100,lethal,100percent_damage,NA,NA,5w,NA,NA,12,NA,64,NA,NA,Southern Iceland,Rietema_&_van_den_Hoek_1986,microthalli,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,NA,marine
Dumontia,contorta,0,tmin,NA,NA,100,critical,survival_of_microthalli_and_macrothalli,NA,NA,NA,NA,NA,12,NA,64,NA,NA,Southern Iceland,Rietema_&_van_den_Hoek_1986,microthalli,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,NA,marine
Lagopus,muta,7.1,tmin,NA,NA,NA,critical,increased_heat_production,NA,NA,NA,NA,NA,NA,Winter,63,10,NA,Norwegian_Willow_Ptarmigan,Mortensen_&_Blix_1986,adult,Chordata,Aves,Galliformes,Phasianidae,Alpin/Artic,terrestrial
Lagopus,muta,0.6,tmin,NA,NA,NA,critical,increased_heat_production,NA,NA,NA,NA,NA,NA,Summer,63,10,NA,Norwegian_Willow_Ptarmigan,Mortensen_&_Blix_1986,adult,Chordata,Aves,Galliformes,Phasianidae,Alpin/Artic,terrestrial
Lagopus,muta,-2,tmin,NA,NA,NA,critical,increased_heat_production,NA,NA,NA,NA,NA,NA,Winter,63,10,NA,Norwegian_Rock_Ptarmigan,Mortensen_&_Blix_1986,adult,Chordata,Aves,Galliformes,Phasianidae,Alpin/Artic,terrestrial
Lagopus,muta,-4.5,tmin,NA,NA,NA,critical,increased_heat_production,NA,NA,NA,NA,NA,NA,Summer,63,10,NA,Norwegian_Rock_Ptarmigan,Mortensen_&_Blix_1986,adult,Chordata,Aves,Galliformes,Phasianidae,Alpin/Artic,terrestrial
Sphaerotrichia,divaricata,30.5,tmax,NA,NA,5,lethal,50percent_survival,NA,NA,2w,NA,4w,held,NA,55.93,11.9,NA,Denmark,Peters_&_Breeman_1992,gametophyte,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,NA,marine
Desmarestia,viridis,26.7,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,2w,20,4w,10,NA,54.15,7.86,NA,Helgoland_Germany,Peters_&_Breeman_1994,gametophyte,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,marine,aquatic
Desmarestia,aculeata,24.5,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,2w,15,4w,10,NA,54.15,7.86,NA,Helgoland_Germany,Peters_&_Breeman_1992,gametophyte,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,marine,aquatic
Desmarestia,aculeata,22.6,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,2w,15,4w,10,NA,54.15,7.86,NA,Helgoland_Germany,Peters_&_Breeman_1992,gametophyte,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,marine,aquatic
Dumontia,contorta,26,tmax,NA,NA,>100,lethal,0percent_survival,NA,NA,82d,NA,NA,12,Summer,54,NA,NA,Isle_of_Man_Port_St.Mary_UK,Rietema_&_Breeman_1983,microthalli,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,marine,aquatic
Dictyosiphon,foeniculaceus,27.5,tmax,NA,NA,5,lethal,50percent_survival,NA,NA,2w,NA,4w,held,NA,53.15,-9.15,NA,Western_Ireland,Peters_&_Breeman_1992,gametophyte,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,NA,marine
Dictyosiphon,foeniculaceus,27.3,tmax,NA,NA,5,lethal,50percent_survival,NA,NA,2w,NA,4w,held,NA,53.15,-9.15,NA,Western_Ireland,Peters_&_Breeman_1992,gametophyte,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,NA,marine
Bufo,boreas,35.5,tmax,NA,NA,10-100,critical,righting_ability,1,NA,NA,30,2.5w,NA,Summer,52,NA,304.8,"British Columbia, Clinton",Brattstrom_1968,adult,Chordata,Amphibia,Anura,Bufonidae,NA,terrestrial
Bufo,boreas,34,tmax,NA,NA,10-100,critical,righting_ability,1,NA,NA,5,2.5w,NA,Summer,52,NA,304.8,"British Columbia, Clinton",Brattstrom_1968,adult,Chordata,Amphibia,Anura,Bufonidae,NA,terrestrial
Dumontia,contorta,26,tmax,NA,NA,>100,lethal,0percent_survival,NA,NA,82d,NA,NA,12,Spring,51.08,NA,NA,Lake_Grevelingen_Zeeland_SW_Netherlands,Rietema_&_Breeman_1984,microthalli,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,marine,aquatic
Dumontia,contorta,26,tmax,NA,NA,>100,lethal,0percent_survival,NA,NA,82d,NA,NA,12,Summer,49,NA,NA,Chenal_d'ile_Verte_Roscoff_Brittany_France,Rietema_&_Breeman_1982,microthalli,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,marine,aquatic
Desmarestia,aculeata,22.4,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,2w,15,4w,10,NA,49,-125,NA,Western_Canada,Peters_&_Breeman_1992,gametophyte,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,marine,aquatic
Desmarestia,aculeata,21.8,tmax,NA,NA,NA,lethal,50percent_survival,NA,NA,2w,15,4w,10,NA,49,-125,NA,Western_Canada,Peters_&_Breeman_1992,gametophyte,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,marine,aquatic
Sphaerotrichia,divaricata,30.6,tmax,NA,NA,5,lethal,50percent_survival,NA,NA,2w,NA,4w,held,NA,48.83,-125.13,NA,Western_Canada,Peters_&_Breeman_1992,gametophyte,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,NA,marine
Sphaerotrichia,divaricata,30.4,tmax,NA,NA,5,lethal,50percent_survival,NA,NA,2w,NA,4w,held,NA,48.83,-125.13,NA,Western_Canada,Peters_&_Breeman_1992,gametophyte,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,NA,marine
Sphaerotrichia,divaricata,30.4,tmax,NA,NA,5,lethal,50percent_survival,NA,NA,2w,NA,4w,held,NA,48.83,-125.13,NA,Western_Canada,Peters_&_Breeman_1992,gametophyte,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,NA,marine
