Genus,Species,parameter_value,parameter_(tmax_or_tmin),error_estimate,error_type,metric_type,metric_description,person
Encella,farinosa,52.9,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_is_maximal,FL
Eriogonum,latifolium,48.9,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_20%_of_the_maximum_fluorescence,FL
Eriogonum,fasciculatum,50.2,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_20%_of_the_maximum_fluorescence,FL
Eriogonum,fasciculatum,52.9,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_50%,FL
Eriogonum,fasciculatum,57.2,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_is_maximal,FL
Eriogonum,latifolium,52.2,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_50%,FL
Eriogonum,latifolium,57.8,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_is_maximal,FL
Salvia,mohavensis,44.6,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_20%_of_the_maximum_fluorescence,FL
Salvia,leucophylla,44.1,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_20%_of_the_maximum_fluorescence,FL
Salvia,leucophylla,46.4,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_50%,FL
Salvia,leucophylla,50.8,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_is_maximal,FL
Salvia,mohavensis,46.4,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_reached_50%,FL
Salvia,mohavensis,50.4,tmax,NA,NA,critical,Temperature_at_which_the_fluorescence_is_maximal,FL
Haplogloia,andersonii,25.6,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Desmarestia,herbacea,24.6,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Desmarestia,herbacea,24.7,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Haplogloia,andersonii,24.3,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Desmarestia,herbacea,25.6,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Desmarestia,herbacea,24.6,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Desmarestia,herbacea,25.3,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Desmarestia,herbacea,24.7,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Desmarestia,herbacea,24.7,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Desmarestia,willii,26.4,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Tinocladia,falklandica,28.7,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Dictyosiphon,hirsutus,24.1,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Dictyosiphon,hirsutus,24,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Dictyosiphon,hirsutus,-2,tmin,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Dictyosiphon,hirsutus,-2,tmin,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Tinocladia,falklandica,28.1,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Trachynema,groenlandicum,21.7,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Dictyosiphon,hirsutus,23.2,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Dictyosiphon,hirsutus,23.2,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Dictyosiphon,hirsutus,-2,tmin,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Dictyosiphon,hirsutus,-2,tmin,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Trachynema,groenlandicum,24.4,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Eleutherodactylus,portoricensus,36.2,tmax,0.47,SD,critical,temperature_at_whicht_the_animal_failed_to_respond_to_prodding,FL
Eleutherodactylus,portoricensus,7.5,tmin,0.72,SD,critical,temperature_at_whicht_the_animal_failed_to_respond_to_prodding,FL
Eleutherodactylus,portoricensus,36.3,tmax,0.72,SD,critical,temperature_at_whicht_the_animal_failed_to_respond_to_prodding,FL
Desmarestia,willii,26.3,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Desmarestia,willii,25.8,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Sphaerotrichia,divaricata,30.5,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Sphaerotrichia,divaricata,30.6,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Sphaerotrichia,divaricata,28.8,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Sphaerotrichia,divaricata,29.1,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Sphaerotrichia,divaricata,31.5,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Dictyosiphon,foeniculaceus,25.4,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Dictyosiphon,foeniculaceus,25.4,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Dictyosiphon,foeniculaceus,27.5,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Dictyosiphon,foeniculaceus,27.3,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Sphaerotrichia,divaricata,30.3,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
