"species","v1","v2","scientificName","kingdom","phylum","class","order","family","db","db_code","reported_name_fixed","reported_name"
"Coracina larvata",0,1,"Coracina larvata","Animalia","Chordata","Aves","Passeriformes","Campephagidae","gbif","GBIF:2486780","Coracina larvata","Coracina larvata"
"Coracina lineata",1,0,"Coracina lineata","Animalia","Chordata","Aves","Passeriformes","Campephagidae","gbif","GBIF:2486752","Coracina lineata","Coracina lineata"
"Coracina maxima",1,0,"Coracina maxima","Animalia","Chordata","Aves","Passeriformes","Campephagidae","gbif","GBIF:2486755","Coracina maxima","Coracina maxima"
"Coracina montana",1,0,"Coracina montana","Animalia","Chordata","Aves","Passeriformes","Campephagidae","gbif","GBIF:2486759","Coracina montana","Coracina montana"
"Coracina papuensis",1,0,"Coracina papuensis","Animalia","Chordata","Aves","Passeriformes","Campephagidae","gbif","GBIF:2486777","Coracina papuensis","Coracina papuensis"
"Coracina pectoralis",0,1,"Coracina pectoralis","Animalia","Chordata","Aves","Passeriformes","Campephagidae","gbif","GBIF:2486795","Coracina pectoralis","Coracina pectoralis"
"Coracina schisticeps",1,0,"Coracina schisticeps","Animalia","Chordata","Aves","Passeriformes","Campephagidae","gbif","GBIF:2486781","Coracina schisticeps","Coracina schisticeps"
"Coracina tenuirostris",1,0,"Coracina tenuirostris","Animalia","Chordata","Aves","Passeriformes","Campephagidae","gbif","GBIF:2486768","Coracina tenuirostris","Coracina tenuirostris"
"Coragyps atratus",1,1,"Coragyps atratus","Animalia","Chordata","Aves","Accipitriformes","Cathartidae","gbif","GBIF:2481942","Coragyps atratus","Coragyps atratus"
"Corallorhiza maculata",1,1,"Corallorhiza maculata","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","gbif","GBIF:2797273","Corallorhiza maculata","Corallorhiza maculata"
"Corallorhiza mertensiana",1,1,"Corallorhiza mertensiana","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","gbif","GBIF:2797342","Corallorhiza mertensiana","Corallorhiza mertensiana"
"Corallorhiza striata",1,1,"Corallorhiza striata","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","gbif","GBIF:2797295","Corallorhiza striata","Corallorhiza striata"
"Corallorhiza trifida",1,1,"Corallorhiza trifida","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","gbif","GBIF:2797313","Corallorhiza trifida","Corallorhiza trifida"
"Coranarta cordigera",1,1,"Coranarta cordigera","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:4534038","Coranarta cordigera","Coranarta cordigera"
"Varicorbula gibba",1,1,"Corbula gibbosa","Animalia","Mollusca","Bivalvia","Myida","Corbulidae","gbif","GBIF:11121761","Corbula gibba","Corbula gibba"
"Corbula gibba",1,1,"Corbula gibbosa","Animalia","Mollusca","Bivalvia","Myida","Corbulidae","gbif","GBIF:11121761","Corbula gibba","Corbula gibba"
"Corcorax melanorhamphos",1,0,"Corcorax melanoramphos","Animalia","Chordata","Aves","Passeriformes","Corcoracidae","gbif","GBIF:5845081","Corcorax melanorhamphos","Corcorax melanorhamphos"
"Cordia senegalensis",1,0,"Cordia senegalensis","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Cordiaceae","gbif","GBIF:7971003","Cordia senegalensis","Cordia senegalensis"
"Cordulegaster bidentata",1,1,"Cordulegaster bidentata","Animalia","Arthropoda","Insecta","Odonata","Cordulegastridae","gbif","GBIF:1421193","Cordulegaster bidentata","Cordulegaster bidentata"
"Cordulegaster boltonii",1,0,"Cordulegaster boltonii","Animalia","Arthropoda","Insecta","Odonata","Cordulegastridae","gbif","GBIF:1421161","Cordulegaster boltoni","Cordulegaster boltoni"
"Cordulegaster boltonii",1,1,"Cordulegaster boltonii","Animalia","Arthropoda","Insecta","Odonata","Cordulegastridae","gbif","GBIF:1421161","Cordulegaster boltonii","Cordulegaster boltonii"
"Cordulegaster diastatops",0,1,"Cordulegaster diastatops","Animalia","Arthropoda","Insecta","Odonata","Cordulegastridae","gbif","GBIF:1421218","Cordulegaster diastatops","Cordulegaster diastatops"
"Cordulegaster insignis",1,1,"Cordulegaster insignis","Animalia","Arthropoda","Insecta","Odonata","Cordulegastridae","gbif","GBIF:1421179","Cordulegaster insignis","Cordulegaster insignis"
"Cordulegaster maculata",0,1,"Cordulegaster maculata","Animalia","Arthropoda","Insecta","Odonata","Cordulegastridae","gbif","GBIF:1421217","Cordulegaster maculatus","Cordulegaster maculatus"
"Cordulegaster obliqua",0,1,"Cordulegaster obliqua","Animalia","Arthropoda","Insecta","Odonata","Cordulegastridae","gbif","GBIF:1421186","Cordulegaster obliquus","Cordulegaster obliquus"
"Cordulegaster picta",1,1,"Cordulegaster charpentieri","Animalia","Arthropoda","Insecta","Odonata","Cordulegastridae","gbif","GBIF:1421158","Cordulegaster picta","Cordulegaster picta"
"Cordulia aenea",1,1,"Cordulia aenea","Animalia","Arthropoda","Insecta","Odonata","Corduliidae","gbif","GBIF:1429717","Cordulia aenea","Cordulia aenea"
"Cordulia shurtleffii",0,1,"Cordulia shurtleffii","Animalia","Arthropoda","Insecta","Odonata","Corduliidae","gbif","GBIF:1429728","Cordulia shurtleffii","Cordulia shurtleffii"
"Cordyla pinnata",1,0,"Cordyla pinnata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:5358324","Cordyla pinnata","Cordyla pinnata"
"Cordylanthus eremicus",1,1,"Cordylanthus eremicus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","gbif","GBIF:5414588","Cordylanthus eremicus","Cordylanthus eremicus"
"Cordylanthus eremicus",1,1,"Cordylanthus eremicus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","gbif","GBIF:5414588","Cordylanthus eremicus","Cordylanthus eremicus subsp. eremicus"
"Cordylanthus kingii",1,1,"Cordylanthus kingii","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","gbif","GBIF:5414568","Cordylanthus kingii","Cordylanthus kingii subsp. helleri"
"Cordylanthus nevinii",1,1,"Cordylanthus nevinii","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","gbif","GBIF:5414581","Cordylanthus nevinii","Cordylanthus nevinii"
"Cordylanthus pilosus",1,1,"Cordylanthus pilosus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","gbif","GBIF:5414587","Cordylanthus pilosus","Cordylanthus pilosus subsp. hansenii"
"Cordylanthus pilosus",1,1,"Cordylanthus pilosus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","gbif","GBIF:5414587","Cordylanthus pilosus","Cordylanthus pilosus subsp. pilosus"
"Cordylanthus pilosus",1,1,"Cordylanthus pilosus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","gbif","GBIF:5414587","Cordylanthus pilosus","Cordylanthus pilosus subsp. trifidus"
"Cordylanthus pringlei",1,1,"Cordylanthus pringlei","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","gbif","GBIF:5414591","Cordylanthus pringlei","Cordylanthus pringlei"
"Cordylanthus rigidus",1,1,"Cordylanthus rigidus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","gbif","GBIF:5414569","Cordylanthus rigidus","Cordylanthus rigidus subsp. brevibracteatus"
"Cordylanthus rigidus",1,1,"Cordylanthus rigidus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","gbif","GBIF:5414569","Cordylanthus rigidus","Cordylanthus rigidus subsp. rigidus"
"Cordylanthus rigidus",1,1,"Cordylanthus rigidus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","gbif","GBIF:5414569","Cordylanthus rigidus","Cordylanthus rigidus subsp. setigerus"
"Cordylanthus tenuis",1,1,"Cordylanthus tenuis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","gbif","GBIF:5414580","Cordylanthus tenuis","Cordylanthus tenuis subsp. tenuis"
"Cordylanthus tenuis",1,1,"Cordylanthus tenuis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","gbif","GBIF:5414580","Cordylanthus tenuis","Cordylanthus tenuis subsp. viscidus"
"Coreopsis tinctoria",1,1,"Coreopsis tinctoria","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3133950","Coreopsis tinctoria","Coreopsis tinctoria"
"Corethrogyne filaginifolia",1,1,"Corethrogyne filaginifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3118138","Corethrogyne filaginifolia","Corethrogyne filaginifolia"
"Coreus marginatus",1,1,"Coreus marginatus","Animalia","Arthropoda","Insecta","Hemiptera","Coreidae","gbif","GBIF:4388646","Coreus marginatus","Coreus marginatus"
"Coriaria myrtifolia",1,1,"Coriaria myrtifolia","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Coriariaceae","gbif","GBIF:3701787","Coriaria myrtifolia","Coriaria myrtifolia"
"Coriomeris denticulatus",1,1,"Coriomeris denticulatus","Animalia","Arthropoda","Insecta","Hemiptera","Coreidae","gbif","GBIF:2050067","Coriomeris denticulatus","Coriomeris denticulatus"
"Corixa dentipes",1,1,"Corixa dentipes","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","gbif","GBIF:5156066","Corixa dentipes","Corixa dentipes"
"Corixa panzeri",1,1,"Corixa panzeri","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","gbif","GBIF:5156065","Corixa panzeri","Corixa panzeri"
"Corixa punctata",1,0,"Corixa punctata","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","gbif","GBIF:5156063","Corixa punctata","Corixa punctata"
"Corizus hyoscyami",1,1,"Corizus hyoscyami","Animalia","Arthropoda","Insecta","Hemiptera","Rhopalidae","gbif","GBIF:4391874","Corizus hyoscyami","Corizus hyoscyami"
"Cormobates leucophaeus",1,0,"Cormobates leucophaea","Animalia","Chordata","Aves","Passeriformes","Climacteridae","gbif","GBIF:2494108","Cormobates leucophaea","Cormobates leucophaea"
"Cornus alternifolia",1,1,"Cornus alternifolia","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","gbif","GBIF:3082242","Cornus alternifolia","Cornus alternifolia"
"Cornus canadensis",1,1,"Cornus canadensis","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","gbif","GBIF:3082270","Cornus canadensis","Cornus canadensis"
"Cornus florida",1,0,"Cornus florida","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","gbif","GBIF:3082240","Cornus florida","Cornus florida"
"Cornus glabrata",1,1,"Cornus glabrata","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","gbif","GBIF:3082267","Cornus glabrata","Cornus glabrata"
"Cornus mas",1,1,"Cornus mas","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","gbif","GBIF:3082263","Cornus mas","Cornus mas"
"Cornus nuttallii",1,1,"Cornus nuttallii","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","gbif","GBIF:8288790","Cornus nuttallii","Cornus nuttallii"
"Cornus racemosa",1,1,"Cornus racemosa","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","gbif","GBIF:3082264","Cornus racemosa","Cornus racemosa"
"Cornus sanguinea",1,1,"Cornus sanguinea","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","gbif","GBIF:3082234","Cornus sanguinea","Cornus sanguinea"
"Cornus sericea",0,1,"Cornus sericea","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","gbif","GBIF:3082244","Cornus sericea","Cornus sericea"
"Cornus sericea",1,1,"Cornus sericea","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","gbif","GBIF:3082244","Cornus sericea","Cornus sericea subsp. occidentalis"
"Cornus sericea",1,1,"Cornus sericea","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","gbif","GBIF:3082244","Cornus sericea","Cornus sericea subsp. sericea"
"Cornus sessilis",1,1,"Cornus sessilis","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","gbif","GBIF:8308780","Cornus sessilis","Cornus sessilis"
"Cornus suecica",1,1,"Cornus suecica","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","gbif","GBIF:3082246","Cornus suecica","Cornus suecica"
"Coronella austriaca",1,1,"Coronella austriaca","Animalia","Chordata","Reptilia","Squamata","Colubridae","gbif","GBIF:5959617","Coronella austriaca","Coronella austriaca"
"Coronella girondica",1,1,"Coronella girondica","Animalia","Chordata","Reptilia","Squamata","Colubridae","gbif","GBIF:5959645","Coronella girondica","Coronella girondica"
"Coronilla coronata",1,0,"Coronilla coronata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:5348660","Coronilla coronata","Coronilla coronata"
"Hippocrepis emerus",1,1,"Coronilla emerus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:7740675","Coronilla emerus","Coronilla emerus"
"Coronilla minima",1,1,"Coronilla minima","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:5348647","Coronilla minima","Coronilla minima"
"Coronilla scorpioides",1,0,"Coronilla scorpioides","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:5348644","Coronilla scorpioides","Coronilla scorpioides"
"Coronilla vaginalis",1,0,"Coronilla vaginalis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:5348664","Coronilla vaginalis","Coronilla vaginalis"
"Coronilla valentina",0,1,"Coronilla valentina","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:5348633","Coronilla valentine","Coronilla valentine"
"Coronilla valentina",1,0,"Coronilla valentina","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:5348633","Coronilla valentine","Coronilla valentine subsp. glauca"
"Securigera varia",1,0,"Coronilla varia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:5350005","Coronilla varia","Coronilla varia"
"Lepidium squamatum",1,0,"Lepidium coronopus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:5376627","Coronopus squamatus","Coronopus squamatus"
"Cortaderia selloana",1,1,"Cortaderia selloana","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:2704523","Cortaderia selloana","Cortaderia selloana"
"Cortiella hookeri",1,1,"Cortiella hookeri","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3632966","Cortia hookeri","Cortia hookeri"
"Cortia hookeri",1,1,"Cortiella hookeri","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","gbif","GBIF:3632966","Cortia hookeri","Cortia hookeri"
"Corticarina fuscula",1,1,"Hylesinus varius","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","gbif","GBIF:7825487","Corticarina fuscula","Corticarina fuscula"
"Urolestes melanoleucus",0,1,"Urolestes melanoleucus","Animalia","Chordata","Aves","Passeriformes","Laniidae","gbif","GBIF:5789240","Corvinella melanoleuca","Corvinella melanoleuca"
"Corvus bennetti",1,0,"Corvus bennetti","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:2482498","Corvus bennetti","Corvus bennetti"
"Corvus brachyrhynchos",1,1,"Corvus brachyrhynchos","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:2482507","Corvus brachyrhynchos","Corvus brachyrhynchos"
"Corvus corax",1,1,"Corvus corax","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:2482492","Corvus corax","Corvus corax"
"Corvus cornix",1,1,"Corvus cornix","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:2482515","Corvus cornix","Corvus cornix"
"Corvus corone",1,1,"Corvus corone","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:9409796","Corvus corone","Corvus corone"
"Corvus cornix",0,1,"Corvus corone","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:9409796","Corvus corone","Corvus corone cornix"
"Corvus coronoides",1,0,"Corvus coronoides","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:2482524","Corvus coronoides","Corvus coronoides"
"Corvus corax",1,1,"Corvus corax","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:2482492","Corvus corrax","Corvus corrax"
"Corvus cryptoleucus",1,1,"Corvus cryptoleucus","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:2482500","Corvus cryptoleucus","Corvus cryptoleucus"
"Corvus frugilegus",1,1,"Corvus frugilegus","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:2482513","Corvus frugilegus","Corvus frugilegus"
"Coloeus monedula",1,1,"Coloeus monedula","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:6100954","Corvus monedula","Corvus monedula"
"Corvus monedula",1,1,"Coloeus monedula","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:6100954","Corvus monedula","Corvus monedula"
"Corvus orru",1,0,"Corvus orru","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:2482491","Corvus orru","Corvus orru"
"Corvus ossifragus",1,1,"Corvus ossifragus","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:2482481","Corvus ossifragus","Corvus ossifragus"
"Corvus tasmanicus",1,0,"Corvus tasmanicus","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:2482522","Corvus tasmanicus","Corvus tasmanicus"
"Corvus tristis",1,1,"Corvus tristis","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:2482482","Corvus tristis","Corvus tristis"
"Corydalis caseana",1,1,"Corydalis caseana","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","gbif","GBIF:5334203","Corydalis caseana","Corydalis caseana subsp. caseana"
"Corydalis cashmeriana",1,1,"Corydalis cashmeriana","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","gbif","GBIF:7314890","Corydalis cashmeriana","Corydalis cashmeriana"
"Corydalis cava",1,0,"Corydalis cava","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","gbif","GBIF:5530881","Corydalis cava","Corydalis cava"
"Corydalis intermedia",1,0,"Corydalis intermedia","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","gbif","GBIF:5531229","Corydalis intermedia","Corydalis intermedia"
"Pseudofumaria lutea",1,0,"Pseudofumaria lutea","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","gbif","GBIF:2888513","Corydalis lutea","Corydalis lutea"
"Corydalis solida",1,0,"Corydalis solida","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","gbif","GBIF:5334208","Corydalis solida","Corydalis solida"
"Corylus americana",1,1,"Corylus americana","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:2876060","Corylus americana","Corylus americana"
"Corylus avellana",1,1,"Corylus avellana","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:2875979","Corylus avellana","Corylus avellana"
"Corylus cornuta",1,1,"Corylus cornuta","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:2876032","Corylus cornuta","Corylus cornuta"
"Corylus cornuta",1,1,"Corylus cornuta","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","gbif","GBIF:2876032","Corylus cornuta","Corylus cornuta subsp. californica"
"Paracorymbia maculicornis",1,1,"Paracorymbia maculicornis","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","gbif","GBIF:8210670","Corymbia maculicornis","Corymbia maculicornis"
"Corymbia rubra",1,1,"Stictoleptura rubra","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","gbif","GBIF:8966182","Corymbia rubra","Corymbia rubra"
"Corymica arnearia",0,1,"Corymica arnearia","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:1976212","Corymica arnearia","Corymica arnearia"
"Corymica spatiosa",0,1,"Corymica spatiosa","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:1976224","Corymica spatiosa","Corymica spatiosa"
"Corynactis californica",0,1,"Corynactis californica","Animalia","Cnidaria","Anthozoa","Corallimorpharia","Corallimorphidae","gbif","GBIF:2260687","Corynactis californica","Corynactis californica"
"Coryne muscoides",0,1,"Coryne muscoides","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Corynidae","gbif","GBIF:5185691","Coryne muscoides","Coryne muscoides"
"Coryphaenoides rupestris",1,1,"Coryphaenoides rupestris","Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae","gbif","GBIF:5215150","Coryphaenoides rupestris","Coryphaenoides rupestris"
"Escobaria alversonii",1,1,"Escobaria alversonii","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","gbif","GBIF:3084502","Coryphantha alversonii","Coryphantha alversonii"
"Coryphantha alversonii",1,1,"Escobaria alversonii","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","gbif","GBIF:3084502","Coryphantha alversonii","Coryphantha alversonii"
"Corystes cassivelaunus",1,1,"Corystes cassivelaunus","Animalia","Arthropoda","Malacostraca","Decapoda","Corystidae","gbif","GBIF:5716132","Corystes cassivelaunus","Corystes cassivelaunus"
"Corythaixoides concolor",0,1,"Corythaixoides concolor","Animalia","Chordata","Aves","Musophagiformes","Musophagidae","gbif","GBIF:2475259","Corythaixoides concolor","Corythaixoides concolor"
"Corythopis torquatus",0,1,"Corythopis torquatus","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","gbif","GBIF:2484069","Corythopis torquatus","Corythopis torquatus"
"Coscinasterias muricata",1,1,"Coscinasterias muricata","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","gbif","GBIF:8334128","Coscinasterias muricata","Coscinasterias muricata"
"Coscinia cribraria",1,1,"Coscinia cribraria","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","gbif","GBIF:5117189","Coscinia cribraria","Coscinia cribraria"
"Cosmia affinis",1,1,"Cosmia affinis","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:1769519","Cosmia affinis","Cosmia affinis"
"Cosmia diffinis",1,1,"Cosmia diffinis","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:1769543","Cosmia diffinis","Cosmia diffinis"
"Cosmia pyralina",1,1,"Cosmia pyralina","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:1769505","Cosmia pyralina","Cosmia pyralina"
"Cosmia trapezina",1,1,"Cosmia trapezina","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:1769566","Cosmia trapezina","Cosmia trapezina"
"Cosmorhoe ocellata",0,1,"Cosmorhoe ocellata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:1970213","Cosmorhoe ocellata","Cosmorhoe ocellata"
"Cossus cossus",1,1,"Cossus cossus","Animalia","Arthropoda","Insecta","Lepidoptera","Cossidae","gbif","GBIF:5101394","Cossus cossus","Cossus cossus"
"Cossypha dichroa",0,1,"Cossypha dichroa","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","gbif","GBIF:2492583","Cossypha dichroa","Cossypha dichroa"
"Cossypha heuglini",0,1,"Cossypha heuglini","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","gbif","GBIF:2492592","Cossypha heuglini","Cossypha heuglini"
"Cossypha humeralis",0,1,"Cossypha humeralis","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","gbif","GBIF:2492584","Cossypha humeralis","Cossypha humeralis"
"Cossypha natalensis",0,1,"Cossypha natalensis","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","gbif","GBIF:2492593","Cossypha natalensis","Cossypha natalensis"
"Costaconvexa polygrammata",1,1,"Costaconvexa polygrammata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:4524221","Costaconvexa polygrammata","Costaconvexa polygrammata"
"Cotinus coggygria",1,1,"Cotinus coggygria","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","gbif","GBIF:3190522","Cotinus coggygria","Cotinus coggygria"
"Cotoneaster integerrimus",1,0,"Cotoneaster integerrimus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3025576","Cotoneaster integerrima","Cotoneaster integerrima"
"Cotoneaster integerrimus",0,1,"Cotoneaster integerrimus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3025576","Cotoneaster integerrimus","Cotoneaster integerrimus"
"Cotoneaster microphylla",1,0,"Cotoneaster microphyllus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3025626","Cotoneaster microphylla","Cotoneaster microphylla"
"Cotoneaster microphyllus",0,1,"Cotoneaster microphyllus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3025626","Cotoneaster microphyllus","Cotoneaster microphyllus"
"Cotoneaster nebrodensis",0,1,"Cotoneaster nebrodensis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3025755","Cotoneaster nebdrodensis","Cotoneaster nebdrodensis"
"Cotoneaster nebrodensis",1,0,"Cotoneaster nebrodensis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3025755","Cotoneaster nebrodensis","Cotoneaster nebrodensis"
"Cotoneaster orbicularis",1,1,"Cotoneaster orbicularis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:3026328","Cotoneaster orbicularis","Cotoneaster orbicularis"
"Cottunculus microps",1,1,"Cottunculus microps","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Psychrolutidae","gbif","GBIF:2334890","Cottunculus microps","Cottunculus microps"
"Cottus gobio",1,1,"Cottus gobio","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","gbif","GBIF:7807208","Cottus gobio","Cottus gobio"
"Cotula australis",1,1,"Cotula australis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8542672","Cotula australis","Cotula australis"
"Cotula coronopifolia",1,1,"Cotula coronopifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3112110","Cotula coronopifolia","Cotula coronopifolia"
"Cotula mexicana",1,1,"Cotula mexicana","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3112131","Cotula mexicana","Cotula mexicana"
"Leptinella plumosa",1,0,"Leptinella plumosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3097543","Cotula plumosa","Cotula plumosa"
"Coturnicops noveboracensis",1,0,"Coturnicops noveboracensis","Animalia","Chordata","Aves","Gruiformes","Rallidae","gbif","GBIF:5228183","Coturnicops noveboracensis","Coturnicops noveboracensis"
"Excalfactoria adansonii",0,1,"Coturnix adansonii","Animalia","Chordata","Aves","Galliformes","Phasianidae","gbif","GBIF:2474138","Coturnix adansonii","Coturnix adansonii"
"Coturnix chinensis",1,0,"Coturnix chinensis","Animalia","Chordata","Aves","Galliformes","Phasianidae","gbif","GBIF:2474128","Coturnix chinensis","Coturnix chinensis"
