"species","v1","v2","scientificName","kingdom","phylum","class","order","family","db","db_code","reported_name_fixed","reported_name"
"Halcyon leucocephala",0,1,"Halcyon leucocephala","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","gbif","GBIF:5228304","Halcyon leucocephala","Halcyon leucocephala"
"Halcyon senegalensis",0,1,"Halcyon senegalensis","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","gbif","GBIF:5228340","Halcyon senegalensis","Halcyon senegalensis"
"Halecium beanii",0,1,"Halecium beanii","Animalia","Cnidaria","Hydrozoa","Leptothecata","Haleciidae","gbif","GBIF:2268465","Halecium beanii","Halecium beanii"
"Halecium delicatulum",0,1,"Halecium delicatulum","Animalia","Cnidaria","Hydrozoa","Leptothecata","Haleciidae","gbif","GBIF:2268452","Halecium delicatulum","Halecium delicatulum"
"Halecium labrosum",0,1,"Halecium labrosum","Animalia","Cnidaria","Hydrozoa","Leptothecata","Haleciidae","gbif","GBIF:2268502","Halecium labrosum","Halecium labrosum"
"Halecium lankesterii",0,1,"Halecium lankesterii","Animalia","Cnidaria","Hydrozoa","Leptothecata","Haleciidae","gbif","GBIF:4340333","Halecium lankesteri","Halecium lankesteri"
"Halecium nanum",0,1,"Halecium nanum","Animalia","Cnidaria","Hydrozoa","Leptothecata","Haleciidae","gbif","GBIF:2268552","Halecium nanum","Halecium nanum"
"Halecium pusillum",0,1,"Halecium pusillum","Animalia","Cnidaria","Hydrozoa","Leptothecata","Haleciidae","gbif","GBIF:2268550","Halecium pusillum","Halecium pusillum"
"Halecium tenellum",0,1,"Halecium tenellum","Animalia","Cnidaria","Hydrozoa","Leptothecata","Haleciidae","gbif","GBIF:2268477","Halecium tenellum","Halecium tenellum"
"Haletta semifasciata",1,1,"Haletta semifasciata","Animalia","Chordata","Actinopterygii","Perciformes","Odacidae","gbif","GBIF:2387346","Haletta semifasciata","Haletta semifasciata"
"Haliaeetus albicilla",1,1,"Haliaeetus albicilla","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480449","Haliaeetus albicilla","Haliaeetus albicilla"
"Haliaeetus leucocephalus",1,1,"Haliaeetus leucocephalus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480446","Haliaeetus leucocephalus","Haliaeetus leucocephalus"
"Haliaeetus leucogaster",1,0,"Haliaeetus leucogaster","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480455","Haliaeetus leucogaster","Haliaeetus leucogaster"
"Haliaeetus leucoryphus",1,1,"Haliaeetus leucoryphus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480453","Haliaeetus leucoryphus","Haliaeetus leucoryphus"
"Haliastur indus",1,1,"Haliastur indus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480437","Haliastur indus","Haliastur indus"
"Seladonia confusa",1,1,"Halictus confusus","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","gbif","GBIF:1353363","Halictus confusus","Halictus confusus"
"Halictus rubicundus",1,1,"Halictus rubicundus","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","gbif","GBIF:1353453","Halictus rubicundus","Halictus rubicundus"
"Seladonia tumulorum",1,1,"Halictus tumulorum","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","gbif","GBIF:1353289","Halictus tumulorum","Halictus tumulorum"
"Halidrys siliquosa",1,0,"Halidrys siliquosa","Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","gbif","GBIF:5422716","Halidrys siliquosa","Halidrys siliquosa"
"Halieutichthys aculeatus",1,1,"Halieutichthys aculeatus","Animalia","Chordata","Actinopterygii","Lophiiformes","Ogcocephalidae","gbif","GBIF:2415008","Halieutichthys aculeatus","Halieutichthys aculeatus"
"Halimolobos jaegeri",1,1,"Halimolobos jaegeri","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","gbif","GBIF:3047493","Halimolobos jaegeri","Halimolobos jaegeri"
"Haliotis kamtschatkana",0,1,"Haliotis kamtschatkana","Animalia","Mollusca","Gastropoda","Lepetellida","Haliotidae","gbif","GBIF:2293082","Haliotis kamtschatkana","Haliotis kamtschatkana"
"Haliotis laevigata",1,1,"Haliotis laevigata","Animalia","Mollusca","Gastropoda","Lepetellida","Haliotidae","gbif","GBIF:4615987","Haliotis laevigata","Haliotis laevigata"
