Genus,Species,parameter_value,parameter_(tmax_or_tmin),error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate_°Cmin-1,duration_of_chronic_exposure,pretreatment_temp_°C,pretreatment_duration,temp_before_pretreament_(held_or_FF_for_field_fresh),timing_of_collection,lat_of_collection,long_of_collection,elevation_of_collection_(ft),location_description,REF,life_stage,Phylum,Class,Order,Family,Realm_specific,Realm_general,Notes
Limnodynastes,dorsalis,35.0,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,30,NA,NA,Summer,39°S,,1000,Wilson's_prom_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Limnodynastes,dorsalis,37.0,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,30,NA,NA,Summer,39°S,,1000,Wilson's_prom_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Limnodynastes,peroni,32.7,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,10,NA,NA,Summer,34°S,,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Limnodynastes,peroni,34.3,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,10,NA,NA,Summer,34°S,,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Limnodynastes,peroni,30.6,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,10,NA,NA,Summer,18°S,,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Limnodynastes,peroni,34.1,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,30,NA,NA,Summer,18°S,,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Limnodynastes,peroni,36.3,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,30,NA,NA,Summer,18°S,,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Limnodynastes,tasmaniensis,29.8,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,5,NA,NA,Spring,31°S,,2500-4500,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Limnodynastes,tasmaniensis,33.9,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,5,NA,NA,Spring,31°S,,2500-4500,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Limnodynastes,tasmaniensis,33.4,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,25,NA,NA,Spring,31°S,,2500-4500,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Limnodynastes,tasmaniensis,35.0,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,25,NA,NA,Spring,31°S,,2500-4500,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Limnodynastes,tasmaniensis,34.0,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,10,NA,NA,Winter,37°S,,1000,Warrenbayne_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Limnodynastes,tasmaniensis,35.1,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,10,NA,NA,Winter,37°S,,1000,Warrenbayne_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Limnodynastes,tasmaniensis,34.9,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,25,NA,NA,Spring,38°S,,1000,Grampians_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Limnodynastes,tasmaniensis,36.6,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,25,NA,NA,Spring,38°S,,1000,Grampians_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Cyclorana,brevipes,40.0,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,30,NA,NA,Summer,21°S,,1000,Bowen_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Cyclorana,brevipes,40.5,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,30,NA,NA,Summer,21°S,,1000,Bowen_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Cyclorana,brevipes,31.7,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,10,NA,NA,Summer,20°S,,1000,Townsville_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Pseudophryne,bibroni,34.8,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,5,NA,NA,Spring,31°S,,2500-4500,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Pseudophryne,bibroni,35.4,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,5,NA,NA,Spring,31°S,,2500-4500,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Pseudophryne,bibroni,30.5,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,5,NA,NA,Spring,34°S,,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Pseudophryne,bibroni,33.9,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,5,NA,NA,Spring,34°S,,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Pseudophryne,bibroni,36.2,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,,25,NA,NA,Spring,34°S,,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
Pseudophryne,bibroni,38.2,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,,25,NA,NA,Spring,34°S,,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,,Terrestrial/aquatic ,
