Genus,Species,parameter_value,parameter_(tmax_or_tmin),error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,duration_of_chronic_exposure,pretreatment_temp,pretreatment_duration,temp_before_pretreament_(held_or_FF_for_field_fresh),timing_of_collection,lat_of_collection,long_of_collection,elevation_of_collection,location_description,REF,life_stage,Phylum,Class,Order,Family,Realm_specific,Realm_general,Notes
Bullia,rhodostoma,32,tmax,,,,lethal,temperature_at_50%_damage_after_24h_treatment,NA,24h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1986,adult,Mollusca,Gastropoda,Neogastropoda,Nassariidae,intertidal,marine,large
Bullia,rhodostoma,31,tmax,,,,lethal,temperature_at_50%_damage_after_48h_treatment,NA,48h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1987,adult,Mollusca,Gastropoda,Neogastropoda,Nassariidae,intertidal,marine,large
Bullia,rhodostoma,28.8,tmax,,,,lethal,temperature_at_50%_damage_after_72h_treatment,NA,72h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1988,adult,Mollusca,Gastropoda,Neogastropoda,Nassariidae,intertidal,marine,large
Bullia,rhodostoma,28.4,tmax,,,,lethal,temperature_at_50%_damage_after_96h_treatment,NA,96h,20,overnight,NA,spring,-33.99,25.29,,"Maintland River Beach, Algoa Bay, South Africa",Ansell_&_McLachlan_1989,adult,Mollusca,Gastropoda,Neogastropoda,Nassariidae,intertidal,marine,large
Palirhoeus,eatoni,39.2,tmax,0.2,SE,10-15,critical,onset_of_spasm,0.25,NA,NA,NA,FF,summer,-46.9,37.73,2,"Marion Island, South Africa",Klok_&_Chown_2003,adult,Arthropoda,Insecta,Coleoptera,Brachyceridae,,terrestrial,
Palirhoeus,eatoni,35.4,tmax,0.8,SE,10-15,critical,onset_of_spasm,0.25,NA,0,7d,NA,summer,-46.9,37.73,2,"Marion Island, South Africa",Klok_&_Chown_2003,adult,Arthropoda,Insecta,Coleoptera,Brachyceridae,,terrestrial,
Palirhoeus,eatoni,36.9,tmax,0.6,SE,10-15,critical,onset_of_spasm,0.25,NA,7.5,7d,NA,summer,-46.9,37.73,2,"Marion Island, South Africa",Klok_&_Chown_2003,adult,Arthropoda,Insecta,Coleoptera,Brachyceridae,,terrestrial,
Palirhoeus,eatoni,36.5,tmax,0.4,SE,10-15,critical,onset_of_spasm,0.25,NA,15,7d,NA,summer,-46.9,37.73,2,"Marion Island, South Africa",Klok_&_Chown_2003,adult,Arthropoda,Insecta,Coleoptera,Brachyceridae,,terrestrial,
Palirhoeus,eatoni,30.7,tmax,1,SE,10-15,critical,onset_of_spasm,0.25,NA,NA,NA,FF,summer,-53.09,73.5,5,"Heard Island, Antarcticta",Klok_&_Chown_2003,adult,Arthropoda,Insecta,Coleoptera,Brachyceridae,,terrestrial,
Palirhoeus,eatoni,35.6,tmax,1.2,SE,10-15,critical,onset_of_spasm,0.25,NA,0,7d,NA,summer,-53.09,73.5,5,"Heard Island, Antarcticta",Klok_&_Chown_2003,adult,Arthropoda,Insecta,Coleoptera,Brachyceridae,,terrestrial,
Palirhoeus,eatoni,33.5,tmax,0.9,SE,10-15,critical,onset_of_spasm,0.25,NA,7.5,7d,NA,summer,-53.09,73.5,5,"Heard Island, Antarcticta",Klok_&_Chown_2003,adult,Arthropoda,Insecta,Coleoptera,Brachyceridae,,terrestrial,
Palirhoeus,eatoni,-1.8,tmin,0.1,SE,10-15,critical,righting_ability,0.25,NA,NA,NA,FF,summer,-46.9,37.73,5,"Marion Island, South Africa",Klok_&_Chown_2003,adult,Arthropoda,Insecta,Coleoptera,Brachyceridae,,terrestrial,
Palirhoeus,eatoni,-3.6,tmin,0.1,SE,10-15,critical,righting_ability,0.25,NA,0,7d,NA,summer,-46.9,37.73,5,"Marion Island, South Africa",Klok_&_Chown_2003,adult,Arthropoda,Insecta,Coleoptera,Brachyceridae,,terrestrial,
Palirhoeus,eatoni,-3.1,tmin,0.1,SE,10-15,critical,righting_ability,0.25,NA,7.5,7d,NA,summer,-46.9,37.73,5,"Marion Island, South Africa",Klok_&_Chown_2003,adult,Arthropoda,Insecta,Coleoptera,Brachyceridae,,terrestrial,
Palirhoeus,eatoni,-2.1,tmin,0.2,SE,10-15,critical,righting_ability,0.25,NA,15,7d,NA,summer,-46.9,37.73,5,"Marion Island, South Africa",Klok_&_Chown_2003,adult,Arthropoda,Insecta,Coleoptera,Brachyceridae,,terrestrial,
Cophosaurus,texanus,44.4,tmax,1.5,SE,8,critical,onset_of_rigor,1.5,NA,NA,NA,FF,summer,29.41,-103.2,1036,"Grapevine Hills, Big Bend National Park, Texas",Bashey_&_Dunham_1997,adult,Chordata,Lepidosauria,Squamata,Iguanidae,desert,terrestrial,"Average values are for pooled data since results did not differ significantly between locations, Ramping was 1-2°C/min"
Cophosaurus,texanus,44.4,tmax,1.5,SE,4,critical,onset_of_rigor,1.5,NA,NA,NA,FF,summer,29.22,-102.88,560,"Boquillas Canyon, Big Bend National Park, Texas",Bashey_&_Dunham_1997,adult,Chordata,Lepidosauria,Squamata,Iguanidae,desert,terrestrial,"Average values are for pooled data since results did not differ significantly between locations, Ramping was 1-2°C/min"
Cophosaurus,texanus,15.4,tmin,1.9,SE,8,critical,onset_of_rigor,1.5,NA,NA,NA,FF,summer,29.41,-103.2,1036,"Grapevine Hills, Big Bend National Park, Texas",Bashey_&_Dunham_1997,adult,Chordata,Lepidosauria,Squamata,Iguanidae,desert,terrestrial,"Average values are for pooled data since results did not differ significantly between locations, Ramping was 1-2°C/min"
Cophosaurus,texanus,15.4,tmin,1.9,SE,4,critical,onset_of_rigor,1.5,NA,NA,NA,FF,summer,29.22,-102.88,560,"Boquillas Canyon, Big Bend National Park, Texas",Bashey_&_Dunham_1997,adult,Chordata,Lepidosauria,Squamata,Iguanidae,desert,terrestrial,"Average values are for pooled data since results did not differ significantly between locations, Ramping was 1-2°C/min"
Ctenomys,talarum,25,tmin,,,3,LTNZ,Temperatures_above_UTNZ_results_in_higher_metabolic_rates,NA,NA,20.5,1w,NA,NA,-37.8,-57.5,,"Mar de Cobo, Argentina",Busch_1989,adult,Chordata,Mammalia,Rodentia,Ctenomyidae,,terrestrial,
Ctenomys,talarum,35,tmax,,,3,UTNZ,Temperatures_below_LTNZ_results_in_higher_metabolic_rates,NA,NA,20.5,1w,NA,NA,-37.8,-57.5,,"Mar de Cobo, Argentina",Busch_1989,adult,Chordata,Mammalia,Rodentia,Ctenomyidae,,terrestrial,
Rattus,fuscipes,28.1,tmin,,,<20,LTNZ,,NA,NA,25,4w,NA,NA,-34.84,116.33,,"Waychinicup River, Western Australia",Collins_1973,adult,Chordata,Mammalia,Rodentia,Muridae,,terrestrial,
Rattus,fuscipes,28.6,tmin,,,<20,LTNZ,,NA,NA,25,4w,NA,NA,-30.26,115.04,,"Jurian Bay, Western Australia",Collins_1973,adult,Chordata,Mammalia,Rodentia,Muridae,,terrestrial,
Rattus,fuscipes,32.9,tmax,,,<20,UTNZ,,NA,NA,25,4w,NA,NA,-34.84,116.33,,"Waychinicup River, Western Australia",Collins_1973,adult,Chordata,Mammalia,Rodentia,Muridae,,terrestrial,
