genus_species,reference,paper_source,doi,extracted,discarded,notes,found
Portunus pelagicus,Qari 2014,Morley,doi:10.12980/JCLM.2.2014JCLM-2014-0057,Y,N,NA,Y
Palaemonetes varians,Ravaux et al 2012,Morley,doi: 10.1007/s00360-012-0666-7,Y,N,NA,Y
Farfantepenaeus aztecus,Re et al 2005,Morley,doi:10.1016/j.jtherbio.2005.09.004,Y,Y,juveniles,Y
Margarites helicinus,Richard et al 2012,Morley,doi:10.1016/j.jembe.2012.01.010,Y,N,NA,Y
Serripes groenlandicus,Richard et al 2012,Morley,doi:10.1016/j.jembe.2012.01.010,Y,N,NA,Y
Strongylocentrotus droebachiensis,Richard et al 2012,Morley,doi:10.1016/j.jembe.2012.01.010,Y,N,NA,Y
Plethodon glutinosus,Spotila 1972,Morley,NA,Y,N,NA,Y
Plethodon jordani,Spotila 1972,Morley,NA,Y,N,NA,Y
Plethodon yonahlossee,Spotila 1972,Morley,NA,Y,N,NA,Y
Thamnophis sirtalis,Stewart 1965,Morley,NA,N,N,NA,N
Oplegnathus fasciatus,Tsuchida 1995,Morley,doi: 10.1016/0306-4565(94)00024-D,Y,N,NA,Y
Pagrus major,Tsuchida 1995,Morley,doi: 10.1016/0306-4565(94)00024-D,Y,N,NA,Y
Parapristipoma trilineatum,Tsuchida 1995,Morley,doi: 10.1016/0306-4565(94)00024-D,Y,N,NA,Y
Pseudocaranx dentex,Tsuchida 1995,Morley,doi: 10.1016/0306-4565(94)00024-D,Y,N,NA,Y
Sardinops melanostictus,Tsuchida 1995,Morley,doi: 10.1016/0306-4565(94)00024-D,Y,N,NA,Y
Sillago japonica,Tsuchida 1995,Morley,doi: 10.1016/0306-4565(94)00024-D,Y,N,NA,Y
Chelydra serpentina,Williamson et al 1989,Morley,doi: 10.1016/0306-4565(89)90027-2,Y,Y,juveniles,Y
Takydromus septentrionalis,Yang et al 2008,Morley,doi: 10.1007/s00360-007-0227-7,Y,N,NA,Y
