Global variation in the thermal tolerances of plants,,,,,,,,,,,,
Lesley T. Lancaster and Aelys M. Humphreys,,,,,,,,,,,,
Proceedings of the National Academy of Sciences USA (2020),,,,,,,,,,,,
,,,,,,,,,,,,
Dataset S1:,,,,,,,,,,,,
,,,,,,,,,,,,
Plant species clean,Plant species pre-cleaning,Thermal Tolerance_deg.C,Tmin or Tmax,Tolerance measure,Hardened y/n,Hardening approach,Latitude,Longitude,Elevation,Plant family,Growth form,Reference (see sheet 2 for full citation information)
Agave_deserti,Agave_deserti,55.2,Tmax,LT50,n,laboratory acclimation,33.63,-116.4,850,Asparagaceae,perennial_herb,"Nobel, 1984"
Agave_deserti,Agave_deserti,56.6,Tmax,LT50,n,laboratory acclimation,33.7,-116.5,850,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_deserti,Agave_deserti,60.7,Tmax,LT50,y,laboratory acclimation,33.63,-116.4,850,Asparagaceae,perennial_herb,"Nobel, 1984"
Agave_deserti,Agave_deserti,61.4,Tmax,LT50,y,laboratory acclimation,33.7,-116.5,850,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_lecheguilla,Agave_lecheguilla,-13.8,Tmin,LT50,y,laboratory acclimation,31.9,-106.3,1350,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_lecheguilla,Agave_lecheguilla,-10.2,Tmin,LT50,n,laboratory acclimation,31.9,-106.3,1350,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_lecheguilla,Agave_lecheguilla,54.5,Tmax,LT50,n,laboratory acclimation,31.9,-106.3,1350,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_lecheguilla,Agave_lecheguilla,64.7,Tmax,LT50,y,laboratory acclimation,31.9,-106.3,1350,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_multifilifera,Agave_multifilifera,-12.7,Tmin,LT50,y,laboratory acclimation,23.9,-105.5,2320,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_multifilifera,Agave_multifilifera,-6.9,Tmin,LT50,n,laboratory acclimation,23.9,-105.5,2320,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_multifilifera,Agave_multifilifera,52.9,Tmax,LT50,n,laboratory acclimation,23.9,-105.5,2320,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_multifilifera,Agave_multifilifera,61.5,Tmax,LT50,y,laboratory acclimation,23.9,-105.5,2320,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_palmeri,Agave_palmeri,-10.4,Tmin,LT50,y,laboratory acclimation,31,-111,760,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_palmeri,Agave_palmeri,-9.6,Tmin,LT50,n,laboratory acclimation,31,-111,760,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_palmeri,Agave_palmeri,56.3,Tmax,LT50,n,laboratory acclimation,31,-111,760,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_palmeri,Agave_palmeri,61.9,Tmax,LT50,y,laboratory acclimation,31,-111,760,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_parryi,Agave_parryi,-19.6,Tmin,LT50,y,laboratory acclimation,32.8,-108.5,1920,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_parryi,Agave_parryi,-11,Tmin,LT50,n,laboratory acclimation,32.8,-108.5,1920,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_parryi,Agavi_patonii,-9.2,Tmin,LT50,y,laboratory acclimation,24,-104.9,2240,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_parryi,Agavi_patonii,-7.6,Tmin,LT50,n,laboratory acclimation,24,-104.9,2240,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_parryi,Agavi_patonii,54.9,Tmax,LT50,n,laboratory acclimation,24,-104.9,2240,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_parryi,Agave_parryi,55.6,Tmax,LT50,n,laboratory acclimation,32.8,-108.5,1920,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_parryi,Agave_parryi,60.4,Tmax,LT50,y,laboratory acclimation,32.8,-108.5,1920,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_parryi,Agavi_patonii,63.7,Tmax,LT50,y,laboratory acclimation,24,-104.9,2240,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_parryi_var._huachucensis,Agave_parryi_var._huachucensis,-10.9,Tmin,LT50,y,laboratory acclimation,29.4,-106.5,1550,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_parryi_var._huachucensis,Agave_paryi_var._huachucensis,-8.5,Tmin,LT50,n,laboratory acclimation,29.4,-106.5,1550,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
